,Track_Id,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Date
746,11746,M.I.A.,Zoo Girl,MATA,album,0.905,0.778,1.0,-2.086,0.0826,0.435,0.0185,0.0856,0.659,126.037,172600.0,Zoo Girl,M.I.A. - Topic,119042.0,2555.0,15.0,True,True,625297.0,2022-10-14
747,11747,M.I.A.,Y.A.L.A.,Matangi,album,0.79,0.916,1.0,-2.742,0.104,0.121,0.000269,0.0513,0.734,124.986,263813.0,,,,,,,,21705493.0,2013-01-01
748,11748,M.I.A.,Jimmy,Kala,album,0.689,0.807,6.0,-4.551,0.0318,0.00258,1.43e-06,0.0971,0.822,124.278,209213.0,M.I.A. - Jimmy,MIAVEVO,9846392.0,55645.0,3784.0,True,True,9120922.0,2007-08-20
749,11749,Survivor,Eye of the Tiger,Eye Of The Tiger,album,0.815,0.438,0.0,-14.522,0.0346,0.216,0.000466,0.0787,0.552,108.965,243773.0,Survivor - Eye Of The Tiger (Official HD Video),SurvivorVEVO,858883649.0,5116416.0,152843.0,True,True,973808944.0,1985
750,11750,Survivor,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor Greatest Hits,compilation,0.652,0.609,9.0,-9.684,0.028,0.298,8.79e-06,0.0573,0.646,98.125,230107.0,Survivor - Burning heart (Rocky IV) HQ,drako2012,68286103.0,277774.0,10420.0,False,False,190974511.0,1993-01-01
751,11751,Survivor,Ever Since the World Began,Eye Of The Tiger,album,0.596,0.367,7.0,-13.87,0.0343,0.704,0.0,0.26,0.278,127.304,222053.0,Ever since the world began - Survivor,Santiago Cortés,52994.0,344.0,30.0,False,False,25369152.0,1982
752,11752,Survivor,Eye of the Tiger - 2006 Master,Eye Of The Tiger 2006 Master,single,0.783,0.573,5.0,-9.135,0.0327,0.172,3.03e-05,0.193,0.513,108.987,255827.0,Eye of the Tiger - 2006 Master,Survivor - Topic,349403.0,7538.0,5.0,True,True,17902169.0,2006-01-01
753,11753,Survivor,The Search Is Over,Vital Signs,album,0.527,0.342,3.0,-12.272,0.0336,0.59,0.0,0.0803,0.148,124.209,252613.0,Survivor - The Search Is Over (Video),SurvivorVEVO,35224135.0,165727.0,6377.0,True,True,48310856.0,1984-01-01
754,11754,Survivor,I Can't Hold Back,Vital Signs,album,0.509,0.681,4.0,-10.659,0.0306,0.499,5.36e-05,0.1,0.33,143.645,238800.0,Survivor - I Can't Hold Back (Video),SurvivorVEVO,23253504.0,120306.0,6588.0,True,True,26136478.0,1984-01-01
755,11755,Survivor,High on You,Vital Signs,album,0.659,0.714,7.0,-9.811,0.0321,0.398,1.15e-05,0.174,0.871,125.152,248200.0,Survivor - High On You,SurvivorVEVO,12319405.0,71578.0,3676.0,True,True,20316052.0,1984-01-01
756,11756,Survivor,The Moment Of The Truth,The Karate Kid: The Original Motion Picture Soundtrack,compilation,0.679,0.802,2.0,-8.488,0.0436,0.132,0.00107,0.243,0.483,138.881,224773.0,Survivor - The Moment Of Truth (The Karate Kid OST) HQ,Afternoon In Utopia,474616.0,4924.0,320.0,False,False,5805273.0,1984
757,11757,Survivor,Man Against the World,When Seconds Count,album,0.622,0.416,5.0,-9.359,0.0271,0.495,0.0,0.334,0.239,97.471,214173.0,Survivor - Man Against the World (Official Music Video),SurvivorVEVO,4407811.0,25571.0,1315.0,True,True,11716768.0,1985
758,11758,Survivor,Is This Love,When Seconds Count,album,0.679,0.772,3.0,-8.946,0.0328,0.557,0.0,0.0338,0.749,118.129,222560.0,Survivor - Is This Love (Video),SurvivorVEVO,9230645.0,59704.0,2529.0,True,True,9921556.0,1986-01-01
759,11759,Ratatat,Loud Pipes,Classics,album,0.718,0.703,7.0,-7.16,0.0382,0.108,0.817,0.208,0.849,87.974,226533.0,Loud Pipes,Ratatat - Topic,4772663.0,72777.0,502.0,True,True,72775854.0,2006-08-22
760,11760,Ratatat,ANTIGRAVITY,VISUALS (DELUXE),album,0.545,0.959,7.0,-2.346,0.174,0.363,0.915,0.182,0.527,92.096,113074.0,KUNZITE - ANTIGRAVITY (FT. LEE SCRATCH PERRY),KUNZITE,7119.0,278.0,22.0,False,True,1293585.0,
761,11761,Ratatat,Wildcat,Classics,album,0.703,0.718,1.0,-7.522,0.0671,0.0479,0.426,0.0415,0.785,115.993,260173.0,Ratatat - Wildcat Music Video,avertmyeyes,1327143.0,4414.0,704.0,False,False,42626921.0,2006-08-22
762,11762,Ratatat,Cream On Chrome - Single Edit,Cream On Chrome,single,0.79,0.692,7.0,-4.704,0.0532,0.0275,0.374,0.528,0.821,100.264,235362.0,RATATAT - CREAM ON CHROME,ratatatmusic,14821650.0,121254.0,3421.0,True,True,,2015-04-13
763,11763,Ratatat,Nostrand,Classics,album,0.71,0.375,0.0,-8.371,0.0664,0.135,0.915,0.0925,0.867,169.928,184040.0,Ratatat -Nostrand,Uselessvidz,1591820.0,9034.0,679.0,False,False,8346423.0,2006-08-22
764,11764,Ratatat,Seventeen Years,Ratatat,album,0.94,0.555,5.0,-6.108,0.0656,0.0266,0.627,0.165,0.534,115.54,266307.0,Ratatat 'Seventeen Years' Music Video,Michael Chico,873309.0,3685.0,659.0,False,False,21401276.0,2004-04-19
765,11765,Ratatat,Cream On Chrome,Magnifique,album,0.794,0.687,7.0,-5.028,0.114,0.0395,0.4,0.115,0.77,100.254,255984.0,RATATAT - CREAM ON CHROME,ratatatmusic,14821650.0,121254.0,3421.0,True,True,25496623.0,2015-04-13
766,11766,Ratatat,Lex,Classics,album,0.646,0.759,2.0,-5.335,0.0626,0.0118,0.828,0.0558,0.354,104.992,269747.0,Lex,Ratatat - Topic,661342.0,11301.0,38.0,True,True,12160763.0,2006-08-22
767,11767,Ratatat,HALOHEAD,VISUALS (DELUXE),album,0.319,0.959,11.0,-3.032,0.409,0.0153,0.0142,0.763,0.332,150.334,204880.0,KUNZITE - HALOHEAD (Official Video),KUNZITE,38270.0,353.0,32.0,False,True,3146501.0,
768,11768,Ratatat,Cherry,Ratatat,album,0.529,0.348,5.0,-11.249,0.0315,0.596,0.918,0.136,0.0492,125.009,338333.0,"Ratatat ""Cherry"" (Official)",Audio Dregs,3932118.0,17527.0,2214.0,False,False,6184372.0,2004-04-19
769,11769,Sara Bareilles,Love Song,Little Voice,album,0.583,0.786,2.0,-3.142,0.0301,0.0208,0.0,0.188,0.573,123.055,258827.0,Sara Bareilles - Love Song (Official HD Video),SaraBareillesVEVO,110363273.0,515733.0,19045.0,True,True,377835347.0,2007-07-03
770,11770,Sara Bareilles,Brave,The Blessed Unrest,album,0.551,0.836,10.0,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,220573.0,Sara Bareilles - Brave (Official Video),SaraBareillesVEVO,137115111.0,1013634.0,52923.0,True,True,267559996.0,2013-07-16
771,11771,Sara Bareilles,She Used To Be Mine,What's Inside: Songs from Waitress,album,0.397,0.303,5.0,-7.508,0.0435,0.381,0.0,0.101,0.172,81.05,250267.0,Sara Bareilles - She Used To Be Mine (Official Video),SaraBareillesVEVO,50244695.0,595193.0,13794.0,True,True,127400611.0,2015-11-06
772,11772,Sara Bareilles,Gravity,Little Voice,album,0.27,0.275,0.0,-10.357,0.0356,0.834,0.0,0.146,0.231,168.964,232760.0,Sara Bareilles - Gravity (Official HD Video),SaraBareillesVEVO,32456936.0,240626.0,10630.0,True,True,202466711.0,2007-07-03
773,11773,Sara Bareilles,I Choose You,The Blessed Unrest,album,0.731,0.572,6.0,-7.889,0.0445,0.105,0.00012,0.133,0.947,154.038,218573.0,Sara Bareilles - I Choose You (Official Video),SaraBareillesVEVO,23242302.0,164440.0,6094.0,True,True,135704946.0,2013-07-16
774,11774,Sara Bareilles,King of Anything,Kaleidoscope Heart,album,0.676,0.762,1.0,-4.172,0.0351,0.461,0.0,0.0574,0.81,119.003,207493.0,Sara Bareilles - King of Anything (Official Video),SaraBareillesVEVO,32228244.0,177857.0,10954.0,True,True,82825658.0,2010-09-07
775,11775,Sara Bareilles,A Safe Place to Land (feat. John Legend),Amidst the Chaos (Bonus Version),album,0.424,0.253,10.0,-13.259,0.0366,0.825,0.0,0.117,0.16,129.812,269210.0,Sara Bareilles - A Safe Place to Land (Live at the Village) ft. John Legend,SaraBareillesVEVO,5761585.0,73702.0,1681.0,True,True,30195005.0,2019-05-10
776,11776,Sara Bareilles,Orpheus,Amidst the Chaos (Bonus Version),album,0.609,0.484,2.0,-7.94,0.0269,0.484,6.08e-05,0.0992,0.367,80.365,253395.0,Sara Bareilles - Orpheus (Official Audio),SaraBareillesVEVO,1062620.0,8015.0,396.0,True,True,18467079.0,2019-05-10
777,11777,Sara Bareilles,Winter Song,Snowfall,single,0.573,0.138,1.0,-14.238,0.036,0.964,3.41e-05,0.133,0.23,81.14,267267.0,Winter Song - Sara Bareilles/Ingrid Michaelson- Music Video,CapnTink13,4556319.0,16238.0,1180.0,False,False,40439058.0,2008-10-14
778,11778,Sara Bareilles,When He Sees Me,What's Inside: Songs from Waitress,album,0.706,0.493,3.0,-6.779,0.0623,0.32,0.0,0.189,0.356,119.925,230973.0,Sara Bareilles - When He Sees Me,Bea Miralles,41594.0,434.0,11.0,False,False,13283128.0,2015-11-06
779,11779,Fuego,Una Vaina Loca,Una Vaina Loca,single,0.811,0.588,1.0,-3.161,0.0464,0.128,0.0004,0.0929,0.553,107.022,226187.0,Fuego - Una Vaina Loca Ft. El Potro Alvarez [Official Video],Fuego,13173364.0,50879.0,2150.0,True,True,240089658.0,2021-10-21
780,11780,Fuego,Luces,Luces,single,0.748,0.689,0.0,-6.168,0.0696,0.333,7.56e-05,0.0872,0.534,110.049,225470.0,"Fuego, Roy Woods, Polimá Westcoast - Luces (Video Oficial)",Fuego,1023187.0,6282.0,204.0,False,True,881220.0,2023-01-12
781,11781,Fuego,Bonita,Bonita,single,0.846,0.577,8.0,-6.048,0.0407,0.0206,2.97e-06,0.164,0.703,120.006,250082.0,"Bonita - Fuego, Blessd, Manuel Turizo (Video Oficial)",Fuego,5492854.0,62916.0,876.0,False,True,9237179.0,2022-08-18
782,11782,Fuego,PAP (Pendiente Al Paso),PAP (Pendiente Al Paso),single,0.706,0.743,5.0,-6.822,0.039,0.428,0.0402,0.149,0.287,126.009,164242.0,"The Martinez Brothers, Fuego - PAP (Pendiente Al Paso)",Fuego,3847227.0,32146.0,510.0,False,True,9887166.0,
